question_id,domain_id,difficulty,question_text,is_multi,option_a,option_b,option_c,option_d,option_e,correct_answer,source
1,3,easy,Snowflake provides a mechanism for its customers to override its natural clustering algorithms. This method is:,FALSE,Micro-partitions,Clustering keys,Key partitions,Clustered partitions,,B,MANUAL
2,1,medium,Which statement best describes `clustering`?,FALSE,Clustering represents the way data is grouped together and stored within Snowflake's micro-partitions,The database administrator must define the clustering methodology for each Snowflake table,The clustering key must be included on the COPY command when loading data into Snowflake,Clustering can be disabled within a Snowflake account,,A,MANUAL
3,6,medium,What is the most granular object that the Time Travel retention period can be defined on?,FALSE,Account,Database,Schema,Table,,D,MANUAL
4,2,medium,Which task is supported by the use of Access History in Snowflake?,FALSE,Data backups,Cost monitoring,Compliance auditing,Performance optimization,,C,MANUAL
5,6,easy,Which feature of Snowflakeʼs Continuous Data Protection (CDP) has associated costs?,FALSE,Fail-safe,Network policies,End-to-end encryption,Multi-Factor Authentication (MFA),,A,MANUAL
6,5,easy,"When enabling access to unstructured data, which URL permits temporary access to a staged file without the need to grant privileges to the stage or to issue access tokens?",FALSE,File URL,Scoped URL,Relative URL,Pre-Signed URL,,B,MANUAL
7,1,medium,"Which Snowflake function is maintained separately from the data and helps to support features such as Time Travel, Secure Data Sharing, and pruning?",FALSE,Column compression,Data clustering,Micro-partitioning,Metadata management,,D,MANUAL
8,1,easy,A tag object has been assigned to a table (TABLE_A) in a schema within a Snowflake database. Which CREATE object statement will automatically assign the TABLE_A tag to a target object?,FALSE,CREATE TABLE [table_name] LIKE TABLE_A;,CREATE VIEW [view_name] AS SELECT * FROM TABLE_A;,CREATE TABLE [table_name] AS SELECT * FROM TABLE_A;,CREATE MATERIALIZED VIEW [view_name] AS SELECT * FROM TABLE_A;,,A,MANUAL
9,6,easy,"In addition to performing all the standard steps to share data, which privilege must be granted on each database referenced by a secure view in order to be shared?",FALSE,READ,REFERENCES,REFERENCE_USAGE,USAGE,,C,MANUAL
10,4,easy,"Which function can be used with the COPY INTO [LOCATION] statement to convert rows from a relational table to a single VARIANT column, and to unload rows into a JSON file?",FALSE,FLATTEN,OBJECT_AS,OBJECT_CONSTRUCT,TO_VARIANT,,C,MANUAL
11,6,easy,Which type of role can be granted to a share?,FALSE,Account role,Custom role,Database role,Secondary role,,C,MANUAL
12,4,easy,"When unloading data with the COPY INTO [location] command, what is the purpose of the PARTITION BY parameter option?",FALSE,To sort the contents of the output file by the specified expression.,To delimit the records in the output file using the specified expression.,To include a new column in the output using the specified window function expression.,"To split the output into multiple files, one for each distinct value of the specified expression.",,D,MANUAL
13,5,easy,What are potential impacts of storing non-native values like dates and timestamps in a VARIANT column in Snowflake?,FALSE,Faster query performance and increased storage consumption,Slower query performance and increased storage consumption,Faster query performance and decreased storage consumption,Slower query performance and decreased storage consumption,,B,MANUAL
14,1,easy,Which of the following statements is true of Snowflake micro-partitioning?,FALSE,Micro-partitioning has been known to introduce data skew,Micro-partitioning: requires a partitioning schema to be defined up front,Micro-partitioning is transparently completed using the ordering that occurs when the data is inserted/loaded,Micro-partitioning can be disabled within a Snowflake account,,C,MANUAL
15,6,hard,Which views are included in the DATA_SHARING_USAGE schema? (Choose two.),TRUE,ACCESS_HISTORY,DATA_TRANSFER_HISTORY,WAREHOUSE_METERING_HISTORY,MONETIZED_USAGE_DAILY,LISTING_TELEMETRY_DAILY,"D,E",MANUAL
16,1,medium,What does a table with a clustering depth of 1 mean in Snowflake?,FALSE,The table has only 1 micro-partition.,The table has 1 overlapping micro-partition.,The table has no overlapping micro-partitions.,The table has no micro-partitions.,,C,MANUAL
17,6,easy,Which Snowflake object contains all the information required to share a database?,FALSE,Private listing,Secure view,Sequence,Share,,D,MANUAL
18,3,easy,What is the PRIMARY factor that determines the cost of using a virtual warehouse in Snowflake?,FALSE,The type of SQL statements executed,The number of tables or databases queried,The amount of data stored in the warehouse,The length of time the compute resources in each cluster run,,D,MANUAL
19,5,easy,"Which function generates a Snowflake-hosted file URL to a staged file using the stage name and relative file path as inputs, with a file URL that does not expire?",FALSE,BUILD_SCOPED_FILE_URL,BUILD_STAGE_FILE_URL,GET_ABSOLUTE_PATH,GET_PRESIGNED_URL,,B,MANUAL
20,4,easy,"When a Snowflake user loads CSV data from a stage, which COPY INTO [table] command guideline should they follow?",FALSE,"The CSV field delimiter must be a comma character (‘,ʼ).",The number of columns in each row should be consistent.,The data file in the stage must be in a compressed format.,The data file must have the same number of columns as the target table.,,B,MANUAL
21,4,easy,A user creates a stage using the following command: CREATE STAGE mystage - DIRECTORY = (ENABLE = TRUE) FILE_FORMAT = myformat; What will be the outcome?,FALSE,A stage with a directory table set to automatically refresh will be created.,A stage with a directory table that has metadata that must be manually refreshed will be created.,An error will be received stating that the storage location for the stage must be identified when creating a stage with a directory table.,The command will fail to run because the name of the directory table is not specified.,,B,MANUAL
